,experience 1,experience 2,experience 3,experience 4,experience 5,experience 6,experience 7,experience 8,experience 9,experience 10,experience 11,experience 12,experience 13,experience 14,experience 15,experience 16,experience 17,experience 18,experience 19,experience 20,experience 21,experience 22,experience 23,experience 24,experience 25,std,mean,median
gene 177,1277.14945,781.68002,1551.79391,1802.08218,1230.46449,1427.62430,959.28758,1485.32159,1140.90682,1121.27365,1477.75661,1081.86277,1273.72471,1066.87827,1237.26117,1056.90565,1128.05366,998.19325,817.74245,1163.64627,1104.71959,1402.42475,1155.77738,1419.21496,1390.68281,230.01530,1222.09713,1163.64627
gene 178,1768.39840,2012.96859,1482.87147,2331.19244,1275.26430,1847.26148,1480.94773,1626.97801,1956.88488,1709.62098,1523.11266,1886.32022,1727.79294,1911.54177,1764.34759,1746.92192,2091.26226,2324.52403,1901.17503,1202.68085,1674.91187,1309.23713,1551.83442,1911.17775,1999.76268,285.36873,1760.75966,1764.34759
gene 179,919.13993,1053.34935,1148.10818,1205.68010,1205.58750,1205.36775,1150.67313,1310.16176,1214.51886,977.81201,642.58536,1134.23053,1452.10994,1229.76371,993.50533,1269.51684,1042.51283,1019.80547,1277.50956,1268.47397,1474.40727,1365.77821,997.66733,889.51709,1347.63685,186.13115,1151.81675,1205.36775
gene 180,1543.50117,1349.64679,1558.21245,1267.44200,1504.21916,1651.65468,1231.14621,1724.66302,1237.10909,1284.37940,1681.20314,1897.67468,1110.83503,1549.15847,1400.39183,1402.90319,1582.35889,1231.42652,1790.73099,1274.28690,1767.00967,1786.25997,1180.80043,1315.42387,1533.85880,218.69575,1474.25185,1504.21916
gene 181,1721.50969,1349.44784,1576.06847,2293.47771,1107.32928,1791.06146,1474.71437,1964.66880,1771.44195,1806.01402,1855.89408,1999.70072,1089.34000,1689.92539,1387.01629,1459.80268,1701.93754,1624.65644,1772.54352,1321.52939,1311.17876,966.09484,1465.85207,1597.04163,2080.13903,314.24339,1607.13544,1624.65644
gene 182,889.93666,830.27925,1335.38737,847.19161,883.65312,1739.28994,1183.84449,1131.59315,1139.79856,1426.43253,1236.36620,1150.55314,995.46287,1204.07513,1257.29013,774.90622,1254.10654,1393.14112,678.12938,682.12678,1251.58315,1314.20456,853.18185,1548.09533,1122.80239,265.25583,1124.93726,1150.55314
gene 183,901.71870,611.71240,836.23013,496.16661,877.65423,909.30983,636.91852,758.77401,658.82338,457.09601,832.23173,730.72810,613.94509,538.57814,763.29448,688.28831,625.01582,668.23182,697.64796,687.89057,712.86613,744.06331,484.83658,646.62263,705.05199,120.71783,691.34786,688.28831
gene 184,62.52550,60.95542,50.90331,58.67821,45.62507,64.39192,75.48515,49.86402,62.27536,47.07680,59.82737,39.60614,69.79646,55.66280,69.21343,53.79348,51.45638,54.71655,50.33405,57.08563,47.81749,31.21327,65.29605,62.59355,59.68741,9.68920,56.23523,57.08563
gene 185,1352.01685,1364.00432,1401.29619,1277.63981,849.42954,1096.45481,1083.78573,1792.36217,966.35203,1401.52554,1315.10406,1591.11912,1398.65924,1258.74946,2057.54739,1219.95765,1734.98662,1579.63007,1610.40319,1297.69830,1812.18738,1202.41643,1530.25291,1200.40697,1219.26290,273.93027,1384.52995,1352.01685
gene 186,1197.09722,1329.79162,1188.51873,1058.25745,1274.93856,943.87354,1116.61807,1157.14310,754.00455,632.25875,871.46818,927.94129,802.00230,761.33943,1309.22085,1040.62371,941.68004,758.08697,942.08314,1209.28996,1033.05268,782.41579,1118.23647,1250.33767,1153.00184,195.93845,1022.13128,1040.62371
gene 187,948.28612,1300.09577,1175.12479,1293.97918,1340.13661,1094.75995,823.64804,1089.66015,1153.22401,827.59248,902.51905,1077.83228,1160.57024,1362.97852,1068.54228,940.97941,1183.85312,789.13131,1378.68610,761.10625,1145.05514,949.11072,1312.81220,1155.71694,1027.22555,182.04929,1090.50505,1094.75995
gene 188,1423.27079,1055.06665,960.68414,1273.55888,1165.54043,1610.66217,926.23656,1387.26239,953.66393,958.03811,917.65266,1388.08057,1227.57067,1050.62549,991.01112,1257.78880,791.25918,1132.42021,1149.07882,1031.23940,1399.37726,875.42238,1118.12325,980.20593,1139.75159,198.93230,1126.54366,1118.12325
gene 189,419.90711,583.42405,436.15438,426.43361,650.16344,503.05115,394.14043,530.56625,637.36770,447.19071,421.45425,597.37342,562.93270,376.52996,695.03021,507.71313,633.84642,533.39459,692.84827,536.70623,444.30244,632.91345,371.00258,571.06316,740.57053,106.10174,533.84321,533.39459
gene 190,865.44691,1126.32034,1042.25956,1286.67925,1345.81598,949.42355,1027.74137,1191.87053,1228.45947,1072.69144,1680.96106,1238.35145,1330.13270,1207.63325,1393.79009,1150.76500,1438.76776,1251.07900,1504.97449,870.50130,1532.02918,1513.52962,1333.17656,1230.15528,1292.21800,201.83099,1244.19093,1238.35145
gene 191,518.50354,435.30144,666.60416,377.60012,525.09062,542.67670,553.32169,576.86746,423.34980,463.88288,466.53513,574.98943,586.59556,442.04941,386.47229,415.58287,575.50152,584.00518,534.73408,591.69557,593.81577,409.05416,454.17419,440.98871,532.63245,76.98634,506.88099,525.09062
gene 192,689.61214,704.28515,744.80661,816.26412,712.70540,820.32272,821.66057,824.80382,883.12826,654.89478,917.97549,755.76646,609.09409,648.06348,698.37277,643.20447,957.02210,655.67459,511.52739,736.18469,797.35428,965.31765,829.29199,705.35735,676.99865,109.09602,751.18756,736.18469
gene 193,1389.77860,1010.75282,1155.73983,1387.35279,911.11835,1223.91689,1125.77489,1217.00774,921.90962,1015.15783,1067.40164,1439.37820,1314.39629,912.80070,872.06195,1255.00759,994.68303,1031.36343,1282.48285,1091.87045,1238.28302,1378.26991,770.98622,1180.10647,973.14052,180.46290,1126.42967,1125.77489
gene 194,590.08708,461.54758,811.23542,610.59887,473.87967,674.73051,613.17720,499.84345,342.42842,600.86696,784.37796,767.34125,483.94058,432.19677,910.86844,526.53950,572.05182,719.36654,566.78574,858.00547,715.45013,880.75860,637.17837,616.00574,679.33345,144.64088,633.14382,613.17720
gene 195,119.91509,88.62214,92.97549,127.44184,111.06481,106.97720,84.49744,108.74215,117.52131,96.27605,99.92961,80.30501,105.63904,78.78658,89.42243,92.14834,79.01553,91.67243,97.27624,52.42612,126.00833,126.08258,118.39823,123.84028,101.72406,18.12867,100.66833,99.92961
gene 196,697.93883,480.77023,711.71129,606.74894,704.60585,943.87491,826.39290,854.87491,651.76720,806.05118,706.35047,456.94451,718.23031,811.67142,583.00691,434.16307,788.68189,526.69762,445.91274,621.87070,552.58066,715.50998,839.83072,603.81782,591.00739,137.19980,667.24050,697.93883
gene 197,687.85914,640.06464,402.38053,449.24145,514.34001,684.67588,627.66273,596.24960,330.63516,635.75231,664.51080,485.44904,644.87842,466.57231,520.07203,524.87633,628.23793,479.13833,599.34679,451.63043,648.12928,562.72050,571.54968,610.85393,550.65805,92.09271,559.09941,571.54968
gene 198,1361.82988,1540.28106,1154.80386,574.75211,1069.67259,1085.81234,1010.38576,860.10410,1214.01344,1072.00077,882.50310,428.86004,1044.18591,850.26190,1452.65768,1475.77715,857.29812,1210.38896,956.39581,738.79418,1016.80843,1184.70798,873.33492,992.55168,1383.78432,266.22771,1051.67864,1044.18591
gene 199,206.02806,225.95730,266.11623,234.42031,292.27133,338.02298,301.37535,272.70862,248.74252,371.59688,251.76956,152.82802,281.71184,195.01406,328.49229,180.52331,159.23451,345.08140,283.53667,309.87610,346.88675,213.89812,220.11051,102.54866,264.91385,66.23151,255.74661,264.91385
gene 200,463.26788,499.24507,421.36196,364.64649,515.11522,309.54000,331.55027,301.00105,427.86127,344.75400,626.05843,471.24623,452.45209,487.40512,444.96021,420.28902,257.47348,515.32863,410.50615,432.14031,512.32289,459.44050,316.22100,462.43862,487.09732,82.99084,429.34893,444.96021
gene 201,1183.91199,1310.22356,1187.11122,1623.25449,1289.27411,990.89458,1519.22296,676.34502,1094.87302,1145.65056,1358.86428,1136.27210,1548.82002,1156.10683,1192.96146,675.30881,971.00541,1282.39622,1090.44856,1132.83104,993.43343,999.81999,1191.59245,1279.16117,1263.32332,220.05727,1171.72426,1183.91199
gene 202,1288.39837,964.37451,1144.66791,1379.42220,1592.50414,1319.75034,1054.05141,1751.95026,1566.70460,1422.30199,1106.69289,1460.75467,1298.34646,1114.04436,1431.84398,1284.23490,1244.44457,1598.25900,1303.46336,736.92431,1355.95148,1421.18525,1575.86348,1283.15877,1489.30499,220.50917,1327.54393,1319.75034
gene 203,1914.23710,1391.60193,1689.06947,1041.88366,1437.03150,1496.28581,1615.89967,1435.28275,2162.11989,1920.80949,874.50360,2139.78817,1811.68853,1831.58516,1870.82869,2062.85342,1766.91144,1410.81930,1639.87830,1238.75078,1886.43407,1851.94319,1659.38771,1840.68480,1959.03476,318.02955,1677.97253,1766.91144
gene 204,84.33283,132.28856,82.97068,70.95924,101.53914,118.00430,56.04899,109.87100,116.17166,90.98037,101.20917,122.47448,73.56106,120.41687,68.32895,82.45368,68.69207,67.75625,92.75129,135.79316,134.23733,105.39159,82.16744,95.80609,91.17132,22.50641,96.21510,92.75129
gene 205,992.17318,2386.00773,1937.76928,1538.95082,1878.05017,1808.78593,1499.03208,1313.63686,1683.46456,1868.73251,1526.78395,2596.59853,2278.74814,1727.29938,1805.22838,2588.18128,1647.12317,1698.76000,2028.18382,1507.83478,1489.06341,1477.93998,1887.87701,2303.62072,1578.97071,383.73155,1801.95266,1727.29938
gene 206,1310.29948,1078.92708,1330.80737,1116.63366,1361.78562,1644.80933,1517.10338,1518.10229,1111.71210,963.83616,1320.87172,1336.20098,1297.75604,1659.01415,1430.02438,1627.81063,1404.39477,1575.63822,1607.63887,1224.31440,1704.95328,1238.44398,1683.95884,1401.70369,1209.50619,203.56504,1387.04986,1361.78562
gene 207,202.45642,215.44415,202.51699,195.98817,181.69520,233.05539,205.86235,176.65250,140.87314,234.50660,187.26060,158.54523,227.65546,256.89240,196.17093,212.14684,231.41163,211.21738,224.88077,158.64629,191.89695,175.61597,204.22337,239.83934,127.03501,31.00582,199.69956,202.51699
gene 208,448.11738,306.22471,410.92412,297.85665,393.30021,433.25759,516.08640,327.66960,451.77000,443.09220,350.47669,371.36587,448.07517,458.09895,406.33020,307.02462,457.35498,276.10134,447.75892,261.92068,393.48352,338.91714,557.17159,405.20091,468.13292,73.97579,399.02849,406.33020
gene 209,472.77617,593.30145,514.73813,628.27426,756.37149,735.56148,517.51200,423.73598,671.33602,569.15184,457.27911,561.60344,703.74282,507.83693,573.54180,582.28984,659.54687,554.18723,605.40753,561.36262,653.57650,581.24921,627.43997,575.30695,612.17081,80.35897,587.97202,581.24921
gene 210,1066.06773,812.46519,1057.48311,666.32892,961.57554,1083.93318,764.59123,790.58905,903.62760,1014.18707,1051.49292,737.45042,1143.30088,982.15924,1250.93068,767.28645,1077.36748,1053.82638,846.39621,904.30761,958.76191,700.02200,969.29036,861.81260,638.41085,156.86244,922.54658,958.76191
gene 211,772.02088,1199.69339,1035.81709,747.24338,983.21809,977.98353,781.39226,990.59449,1171.07580,966.73288,1061.15645,717.37735,779.91924,1242.78648,923.62105,554.07522,782.54911,633.41467,1103.77888,872.88723,713.13242,757.41289,1185.33131,625.78235,907.32041,190.96476,899.45267,907.32041
gene 212,1172.70707,1103.17077,1805.13529,1505.08236,1254.57467,1064.32363,1176.17414,1003.23747,804.78447,1595.31358,648.00199,863.25481,1017.82150,1604.35782,966.69335,891.88028,1445.55782,937.73176,926.02484,1388.02243,1254.49514,951.68281,1013.43752,1179.82076,569.00407,297.06162,1125.69161,1064.32363
gene 213,1128.36907,1056.18035,1681.89594,1453.56830,1579.21445,1417.14048,1783.00102,1483.48082,1143.65201,1245.84519,1586.83438,1337.12288,1550.80009,1794.69312,1253.26809,1782.57427,1412.55400,1114.25799,1758.47569,1198.38101,1308.05439,1803.26982,1414.61929,1266.79970,1658.74231,235.22469,1448.51179,1417.14048
gene 214,738.08545,1078.97008,661.26730,858.17251,800.45247,941.26945,842.11678,982.39242,862.34643,855.57648,782.67146,907.80346,850.61558,555.25923,784.36572,789.01085,958.01072,1262.07844,691.16953,648.70080,883.22590,942.08380,829.21888,1223.82567,791.00658,158.68547,860.78784,850.61558
gene 215,953.30333,523.56266,666.78266,957.05887,1110.00511,419.00881,832.17687,939.18752,587.52551,811.57748,920.38610,863.67455,659.89394,907.65331,707.17866,812.91929,549.50758,899.24244,971.54321,857.39735,655.69455,951.50967,739.36867,753.10578,666.83801,164.59744,788.64408,812.91929
gene 216,1413.05295,1388.77042,1188.67751,1066.15602,1379.22504,1449.94135,1596.78963,1228.07963,1152.33289,1346.27872,1453.57464,1401.78755,1157.39263,1995.30454,1376.23717,1021.47890,1715.78096,1621.19817,1889.06101,1702.72663,1573.90795,1497.50026,1804.94386,1554.56042,1779.71444,251.39182,1470.17893,1449.94135
gene 217,2225.19709,1470.52031,1937.72100,1477.19809,1942.72817,2450.46957,2023.91826,2386.61680,2581.94186,2234.71123,1363.02402,2268.12860,2285.06866,1865.57470,2062.00811,2694.00508,2691.62860,2323.33469,2057.06785,2161.59996,2030.73112,2021.68747,2403.86524,2887.51887,1581.42311,384.20999,2137.10754,2161.59996
gene 218,1537.85596,1602.84326,1141.58019,1317.03567,1314.86292,1554.70177,1462.34529,1235.72099,1716.60469,1329.96041,1453.80705,1239.96035,1142.52496,1405.72215,1785.80785,967.09714,1717.03033,1362.59832,959.83275,1266.34878,1105.61924,1024.44200,1144.24833,1208.29529,1746.92057,239.39165,1349.75065,1317.03567
gene 219,1763.00953,1693.69051,1590.13525,1556.54146,2163.07388,1404.01123,1894.32681,1703.54429,1459.98757,1530.31109,1529.98358,1758.05657,2247.12685,1653.66062,730.51201,1485.98724,1403.73324,1501.13484,1790.76290,1529.42085,1383.95170,1582.34552,1529.74646,1614.83946,1268.46414,281.76128,1590.73430,1556.54146
gene 220,185.80028,284.78442,305.90279,361.41593,339.93625,239.79053,461.37003,382.51277,294.31848,370.61305,228.89625,247.82068,365.98259,328.48708,381.19793,337.07275,313.97858,220.86499,357.49715,324.88832,297.66739,309.18124,416.79422,370.39269,402.62104,64.74962,325.19150,328.48708
gene 221,833.43702,2068.41928,1369.29247,939.58776,1055.26352,1309.02567,903.70686,1228.98291,966.04957,1013.25067,1280.72333,1338.39951,1196.65932,1123.50823,1210.03430,1453.99631,1317.87997,1189.16316,1183.34220,727.82577,1415.24750,1389.72614,1527.20335,1312.88266,1177.76517,262.35753,1221.25491,1210.03430
gene 222,2193.32105,2192.56175,2043.15872,1687.12349,2138.90867,1530.20845,2112.80721,1389.61902,2970.91328,1581.41354,2658.24514,2197.58388,2165.25277,1814.63268,1611.68148,1827.76665,1634.02824,2651.56507,1655.94639,2145.81750,1968.24222,2220.53924,1880.49709,1974.98345,1434.85877,385.21829,1987.26703,1974.98345
gene 223,1084.63512,1574.16397,2087.84296,1859.38423,1754.17294,1748.24906,1599.94390,1916.75276,2231.13414,1487.49160,1632.93725,1447.70588,1289.98090,2137.53145,1581.99433,1917.89299,1398.49184,1419.27084,1863.35859,1284.34673,1487.71577,2136.69507,1943.15244,1169.33222,1944.32708,312.68252,1679.94016,1632.93725
gene 224,1593.55781,1544.12825,1646.71021,1730.00773,1306.36651,1654.69799,2042.70819,2612.70026,1422.59268,1410.97404,1743.15507,1745.62786,1107.73377,1761.88966,1332.89123,1892.80948,2022.64798,1085.31868,1605.01432,1359.72002,1885.20797,1628.49879,1203.63650,1587.14728,1841.78373,325.15498,1630.70104,1628.49879
gene 225,870.57687,661.88381,913.44699,470.62096,849.46434,881.41125,408.69562,664.87002,687.47382,722.32963,565.80081,776.14796,637.45418,754.93593,895.02664,929.16778,899.12495,735.61817,750.18221,707.41253,989.80040,965.06150,605.60150,958.45192,788.61760,151.29956,763.56710,754.93593
gene 226,1343.57560,1848.69497,1628.34348,1003.50341,2099.53516,1643.54010,1628.22223,1545.41170,1477.86578,2545.03702,1940.32938,1353.70830,2243.66334,2104.30102,1417.08139,1738.05495,2013.34526,2845.43112,1859.11506,1521.28246,2386.48436,1409.77029,1817.33149,1483.94485,2006.93128,412.75760,1796.18016,1738.05495
gene 227,1337.76639,873.26013,1244.13598,1511.20175,1060.22220,1323.02304,1337.00403,1461.85579,1030.13963,1200.41991,1551.44810,1670.47594,1419.34898,1634.36705,1648.48455,1097.88226,1147.78154,1677.72525,1399.35972,1680.79560,1373.34597,1519.25434,1403.40604,1421.62896,981.51795,227.92968,1360.23404,1399.35972
gene 228,1371.12592,1066.63812,1464.65861,1838.63969,1174.33910,813.10949,1681.46007,1657.84793,1484.61350,1352.16851,1315.83204,1398.87138,1392.75203,1038.36938,1195.49715,1500.22390,1225.50250,1552.52592,1397.16931,1555.26630,1268.17051,1379.92744,1315.94423,918.07743,1667.25283,238.09644,1361.03933,1379.92744
gene 229,78.02851,53.59056,75.98030,108.46557,64.96134,78.73199,69.19414,83.61107,88.57259,84.88903,67.74942,66.04749,85.43544,68.44363,69.09848,94.78799,67.90820,59.85068,91.37395,63.32156,77.61433,97.47320,65.42028,91.65891,70.14229,13.12002,76.89404,75.98030
gene 230,1150.52680,1040.33339,1054.61643,1532.76481,1262.59092,1814.57470,1326.84959,1146.50101,1372.71298,1608.16903,1337.45590,1074.19797,1802.93717,1271.97318,1166.12437,1443.63663,1121.38011,1112.35209,1176.05709,1776.64611,1472.47689,1200.78660,1063.76503,1647.08856,1318.19775,240.01406,1331.78860,1271.97318
gene 231,1797.72852,1778.74720,1537.15054,1157.54635,1596.35604,1313.86274,1850.72386,1577.58837,1755.72913,1407.71962,1067.93207,1903.00115,1127.89895,1808.82892,1592.03776,1945.28612,1517.22500,1588.48351,1261.10228,1748.96454,2019.99285,1285.39671,791.42289,1540.66975,1386.22804,300.16223,1534.30492,1577.58837
gene 232,846.69660,932.44152,1277.98094,1481.19708,609.33505,899.73931,669.03877,989.98074,572.77534,1274.74801,260.82771,1017.25789,946.94051,1298.74816,1226.50547,998.18254,1096.13864,896.73117,1253.21949,1329.28845,869.67309,1193.78577,986.50015,1080.78635,1033.81636,269.22321,1001.69340,998.18254
gene 233,1244.05841,1377.16623,1650.52647,1088.59881,1961.53226,1292.30248,913.36066,1752.06413,1236.26228,1482.40509,1502.69719,1242.42383,1272.78030,1899.69144,1099.49171,1490.10303,1677.66571,1727.57326,1346.10433,1123.75977,837.34304,1303.68171,1383.88299,893.45748,1762.71774,301.71076,1382.46601,1346.10433
gene 234,1620.48620,1240.28105,1511.33206,1151.83074,1408.83557,1389.67943,1086.08356,957.47476,1634.73240,1068.52271,933.47715,1454.57855,1357.43915,1809.08072,919.55914,1763.87459,1201.81462,1403.74137,1797.89391,1469.03553,1442.78765,1684.15411,1981.32225,1564.46878,1398.44840,283.41276,1410.03738,1408.83557
gene 235,742.87421,1701.58411,1072.31063,1199.70929,806.95136,1240.93043,1301.20035,1662.80821,1627.62109,1363.08564,1172.13278,1732.06474,1687.34890,1496.82258,1323.17102,1491.16412,1326.64649,1169.69446,1056.14849,1651.68567,1441.91275,1207.46673,1138.31826,1550.78776,1672.98417,271.15482,1353.49697,1326.64649
gene 236,1604.41979,962.27618,1481.12744,1564.97740,1598.49841,1203.47910,1094.01957,1604.98569,1699.23581,1240.89340,2119.42788,1577.55527,1569.82028,1747.78937,1094.15864,1938.32352,1211.70047,1766.19518,1585.05967,1043.56893,1872.90434,1412.86998,1273.10494,1343.65474,1694.48046,291.62668,1492.18106,1569.82028
gene 237,1550.19650,1297.42778,1023.97285,1350.13176,807.55135,772.09993,1460.09002,1604.77867,1402.40239,1192.21961,1122.28804,1293.18156,1282.04426,1435.32552,1059.95754,1173.71738,1520.59156,1239.75407,1223.87187,1249.78370,1031.74678,1240.57417,1268.16736,1343.97356,1192.45189,200.33863,1245.53200,1249.78370
gene 238,628.15916,566.38753,504.43849,690.50586,450.65624,639.15320,749.79195,543.82364,697.79862,546.50993,642.63537,576.81403,528.36582,506.41712,465.39837,639.14595,661.39226,482.43825,557.32763,517.64688,573.67054,764.69723,505.73528,530.81879,614.47269,84.37376,583.36803,566.38753
gene 239,1063.36209,1052.26501,949.34666,987.20687,1042.17302,1058.27904,926.49540,694.56786,817.11241,1098.78007,1094.74282,864.42604,611.62320,1002.36088,1106.20563,835.06753,1199.38991,889.91068,782.51337,814.42552,1431.33915,1306.44578,1071.57285,943.25023,1248.36324,185.07943,995.64901,1002.36088
gene 240,893.92054,860.07866,929.99644,800.74670,815.63570,755.26261,1177.28042,679.45362,658.78235,839.96116,676.98837,754.86673,892.95502,826.54887,704.93474,826.11150,674.66770,480.02492,915.37879,606.92148,678.34291,599.12546,831.02902,805.86955,717.81524,136.16704,776.10794,800.74670
gene 241,1076.80873,1247.41572,630.63925,770.93997,740.81526,822.23257,843.13369,970.22687,1041.25485,945.16230,800.36087,1082.65703,1054.28723,1032.27305,530.38104,776.69603,987.65192,758.47670,790.77239,750.31384,949.72346,1029.85964,1115.79660,1350.10912,900.37183,185.44509,919.93440,945.16230
gene 242,206.47239,164.53109,134.16174,168.90917,182.55337,166.79347,169.08109,178.41463,160.48622,145.22681,144.60877,103.05893,177.68666,160.47646,158.35668,124.88731,93.79670,229.05716,200.09737,201.81411,199.38498,264.98877,140.52933,142.93818,202.22439,37.27699,168.82143,166.79347
gene 243,16.07482,11.07681,11.40070,9.01810,9.76208,13.07577,13.34278,9.76570,10.69051,12.99503,5.93023,11.24656,11.77059,11.58521,11.20935,11.29012,11.26401,7.90954,11.97194,13.04398,12.57607,8.19926,9.63256,9.80787,11.33738,2.02033,11.03908,11.26401
gene 244,911.11086,1275.43411,1743.76727,1761.77148,1603.01484,1734.23977,1601.28776,1445.20924,1446.43752,1415.78887,1422.01794,1046.04166,1713.93925,1759.22660,1221.54498,1554.23529,1503.98011,1274.78234,1693.35956,1519.59071,1155.81525,1294.94757,1539.16648,1696.60303,964.43188,248.00798,1451.90977,1503.98011
gene 245,45.19312,37.67978,47.38356,48.29753,30.82959,23.94718,31.07614,42.46697,50.98246,38.73197,52.05616,45.34852,37.22572,54.13507,52.20763,37.05296,48.89670,51.54833,57.74409,33.61239,47.55795,41.53205,43.48476,55.32227,53.94559,8.59035,44.33034,45.34852
gene 246,1268.43436,913.63988,1003.95917,1503.45424,994.81795,1285.95800,862.30299,1362.23367,1012.12578,1307.63010,866.45635,990.79001,1492.21102,623.47049,548.28331,949.86919,1036.67918,1080.86468,1398.30115,1161.12663,1045.91281,912.27559,975.00351,1032.89682,1029.95871,233.50643,1066.34622,1029.95871
gene 247,1110.45219,1336.29330,1454.83427,1295.90560,1208.24075,1513.99518,1281.71091,1117.55092,1624.92965,1447.70725,1656.62804,1310.96544,1361.92376,1193.13494,1461.72226,1537.69736,1474.35350,967.09597,1154.73279,1180.31132,1965.15123,1617.69861,1349.35119,1234.70649,1149.76992,215.41907,1360.27451,1336.29330
gene 248,1264.76228,1458.40637,909.33714,718.25940,1343.15672,1917.59180,1546.44369,1406.95084,1397.66308,1371.60762,1914.98133,988.76513,1446.90165,1303.25039,1258.67558,1137.61677,1415.92603,1493.63728,957.01586,1756.23571,1166.34311,1795.87272,1103.66062,1216.59782,1909.41766,313.31316,1367.96306,1371.60762
gene 249,1761.02335,1475.17907,1517.65542,1350.26550,1358.04889,1244.02125,1246.49888,1462.22008,1254.35412,1279.86162,1600.00155,1481.09583,1469.15009,523.93000,1921.42980,1400.58373,1676.76631,1219.97287,1706.21275,1473.60107,989.82732,1069.53928,1517.39542,1888.23627,835.13940,308.93323,1388.88039,1462.22008
gene 250,477.47842,369.18436,476.75331,544.69345,260.53621,342.64447,300.35161,286.97001,332.65157,386.10889,459.44215,498.11833,212.03225,450.25682,407.19254,400.36579,347.54489,262.08829,275.24613,441.37957,442.22559,430.72536,399.75549,492.42463,286.53314,87.46420,383.30813,399.75549
gene 251,2394.65248,2249.99000,1202.55380,2592.18459,1579.60321,2018.99714,1180.71363,1837.32687,1711.77738,1891.43745,1562.80403,1592.05835,1603.16843,2091.72388,2156.51662,2817.09704,1642.15822,1892.29481,2154.51587,1875.77877,1557.44101,1397.78536,2162.21243,2718.00857,2225.80914,427.89283,1924.34436,1891.43745
gene 252,1103.36808,1237.44294,1353.99359,1402.84533,1432.97290,1541.34001,1165.54171,1498.24971,1754.29827,1152.20632,1426.62484,1850.56569,1381.16397,1673.68028,2250.22900,1061.59992,1200.05412,1181.33888,1322.42172,1597.70766,1661.32489,1631.07231,1043.22303,1532.79757,1183.36453,278.25305,1425.57709,1402.84533
gene 253,1253.97239,1771.61159,1368.51628,898.82568,1023.15170,1251.22249,1175.10533,1323.46771,1408.12068,1293.95197,1096.52319,1261.31657,1199.62010,941.67474,1185.36313,1320.37443,1161.42797,1455.65359,1308.57898,1292.30115,1455.88104,1285.44546,1592.79785,1280.52178,1142.93798,184.20149,1269.93455,1280.52178
gene 254,813.99761,1147.77138,841.09199,868.85898,1028.34685,740.47874,703.02353,1067.41990,724.79199,690.18415,1187.65709,693.84065,1055.41247,657.01736,500.81257,751.40689,855.51731,723.49280,1014.06526,738.37780,959.14872,1010.87706,758.65794,924.88647,879.14976,167.50998,853.45141,841.09199
gene 255,1161.26561,1725.69828,1908.21473,1222.72405,1666.15185,2062.88531,1783.81028,1684.09507,1759.37206,2218.78860,1249.08484,1278.19173,1547.53470,1569.05575,1285.38413,1586.21285,2041.66175,1922.88377,1508.06486,1176.94719,1620.11120,2239.71035,1674.74160,1591.00980,1733.77633,303.55653,1648.69507,1666.15185
gene 256,1829.20989,1843.92502,1799.62941,1772.87948,1685.32270,1636.99924,1428.32469,1319.01862,1344.78938,1247.92025,945.59943,857.78029,1377.62962,1257.54948,1395.13365,1823.71033,1825.82901,1545.17630,1015.60006,2235.73211,1724.71845,1296.78249,1255.97333,259.59490,1645.07051,401.14599,1454.79595,1428.32469
gene 257,1254.78624,1225.67479,546.86665,1207.03898,1587.91753,1226.66443,1309.12834,1251.22208,1401.96190,1040.29288,1284.16751,1553.28070,1138.69527,1195.84669,1296.10698,908.96678,1670.64641,989.02745,1611.93886,1249.23257,1284.85279,1606.72192,1008.97376,1017.21432,797.71480,262.04753,1226.59763,1249.23257
gene 258,1701.26577,1893.00219,1555.33237,1485.14896,2295.33441,1299.28421,1923.01912,2203.64973,1983.48831,1961.18032,1310.34372,2093.80391,1504.42220,2517.01184,2344.58647,1942.88078,1375.59991,2503.81584,2045.46741,1681.88478,1991.17915,1089.36335,1949.48410,1888.38079,2564.04939,394.15642,1884.11916,1942.88078
gene 259,393.05090,283.32580,438.46967,604.46967,905.13500,582.10533,637.06696,542.53581,673.83442,812.33494,601.67488,543.94650,502.35408,558.31290,565.32359,730.42825,638.82506,687.06598,924.95777,619.11676,725.43479,537.15547,676.13207,708.44708,715.62794,141.62086,624.28526,619.11676
gene 260,151.80362,169.83179,211.87908,190.64689,152.40303,139.80045,179.54877,168.12840,174.07158,146.49737,191.57767,226.10314,204.62519,151.79898,200.81942,135.76009,112.83197,236.24614,152.76072,198.80590,225.59360,183.50212,178.05587,196.50658,174.79782,30.22463,178.17585,178.05587
gene 261,2196.69725,1281.05947,1157.63086,1421.01419,1664.44746,1134.09570,1421.56897,1442.12157,1821.12904,1223.92406,1544.36901,1185.88298,2126.04708,1234.26324,1116.34624,1737.66951,912.17880,1453.11316,1310.77470,1926.51678,1387.12334,1672.78066,1304.09804,1687.75530,1993.56612,328.50415,1494.24694,1421.56897
gene 262,769.16739,571.99355,984.96822,993.19574,785.21590,874.82925,922.85014,730.60249,722.73309,748.70925,853.91845,978.31030,1013.17777,929.81089,827.87181,854.11143,745.35779,579.71734,593.05326,847.14704,603.82142,806.66218,887.60705,1075.57763,704.89553,138.66322,816.21220,827.87181
